日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）
2021-04-07,907.7000122070312,923.7000122070312,904.4000244140624,922.9000244140624,5788000.0,922.9000244140624,910.8400024414062,921.1799987792969,904.0799975585936,,,False,False,False,False,False,False,True,False,False,True,False,-0.03109763944935684,-0.04453357409670406,0.0663126552745843,0.0862498358221137,0.020392270405905955,,0.02437967212568335,,,
2021-04-08,907.9000244140624,911.2999877929688,893.2000122070312,904.2999877929688,7063700.0,904.2999877929688,909.4400024414062,919.2299987792968,907.3719970703124,,,False,False,False,False,False,False,True,False,False,True,False,0.0029857483616923296,-0.01260639559083591,0.0402521562594513,0.1035055157410026,-0.003397113036395385,,0.02731395835502996,,,
2021-04-09,919.2999877929688,922.5999755859376,910.7999877929688,911.2999877929688,6132100.0,911.2999877929688,913.9,916.4099975585938,910.9239965820312,,,False,False,False,False,False,False,True,False,False,False,False,0.004938000724545516,-0.026774897076427363,0.009985774984078,0.1017228283208219,0.0004125877493404863,,0.0010973334943434482,,,
2021-04-12,914.5,921.4000244140624,910.2999877929688,911.7999877929688,4989200.0,911.7999877929688,911.0799926757812,913.4399963378906,913.5919970703123,,,False,False,False,False,False,False,True,False,False,True,False,0.0085544942941367,-0.013489787187583905,0.0184250800810313,0.0978284858535058,-0.001965353478103451,,0.010967317540994065,,,
2021-04-13,914.4000244140624,929.7000122070312,912.0,916.2000122070312,6366900.0,916.2000122070312,913.3,911.8599975585936,915.6519970703124,,,False,False,False,False,False,False,True,False,False,True,False,-0.0170268897765182,-0.024121410528970683,0.0063304821171058,0.1007421813612811,0.0005981391938630667,,0.02685000573911661,,,
2021-04-14,902.7999877929688,904.2999877929688,888.4000244140625,894.2000122070312,7761900.0,894.2000122070312,907.5599975585938,909.2,917.0239965820311,,,False,False,False,False,False,False,True,False,False,True,False,-0.013867170929082432,0.007380871724266348,0.057257897011946,0.1114963216797048,-0.025524473343124413,,0.05401474740953818,,,
2021-04-15,901.2000122070312,916.0,900.7999877929688,907.0,4961500.0,907.0,908.1,908.7700012207032,918.2199975585936,,,False,False,False,False,False,False,True,False,False,True,False,-0.015545728319666482,0.0017640304144846898,0.0242557883131201,0.1108048511576626,-0.012370449347953257,,0.047078293502790795,,,
2021-04-16,905.5999755859376,917.0,902.9000244140624,915.7999877929688,4473500.0,915.7999877929688,909.0,911.45,918.5319970703124,,,False,False,False,False,False,False,True,False,False,True,True,-0.03155706897152694,0.017907867037196323,-0.0038217952027219,0.0885564945425917,-0.0029831942714125307,,0.03264907710483818,,,
2021-04-19,920.0,928.0,915.7000122070312,919.5999755859376,4419700.0,919.5999755859376,910.5599975585938,910.8199951171875,918.9119970703124,,,False,False,False,True,True,False,True,False,False,False,False,-0.021857303305310112,0.04045238494414766,0.0023923578354048,0.0502392490578243,0.0007481280272836696,,0.07438019381251096,,,
2021-04-20,903.0,903.0999755859376,891.0999755859375,900.5999755859375,5811800.0,900.5999755859375,907.439990234375,910.3699951171876,917.8279956054688,,,False,False,False,False,False,False,False,False,False,True,False,-0.007217410810799821,0.10215412224516682,0.0446369234918941,0.0341994777515801,-0.0191294919904063,,0.07406175218207806,,,
